CODIGO,MUNICIPIO,OBS_REGISTROS,AÑOS_PRESENTES,NOTA_PANEL,PROM_AUTONOMIA_FISCAL,PROM_DEPENDENCIA_FCM,PROM_TRANSFERENCIAS_SOBRE_INGRESOS,PROM_IMPUESTOS_SOBRE_INGRESOS,PROM_GASTO_CORRIENTE_SOBRE_GASTO_TOTAL,PROM_SERV_COMUNITARIOS_SOBRE_GASTO_TOTAL,PROM_DISPONIBILIDAD_PRESUP_X_HAB,PROM_IPPP,GRUPO_FIGEM_MODAL_2016_2024,CAMBIOS_GRUPO_FIGEM_2016_2024,GRUPO_FIGEM_2024,MONTO_FIGEM_PROM_2016_2024,MONTO_FIGEM_2024,NOTA_MATCH_FIGEM,LOG_PROM_DISPONIBILIDAD_PRESUP_X_HAB,LOG_PROM_IPPP,CLUSTER_FINAL,Z_PROM_DEPENDENCIA_FCM,Z_PROM_TRANSFERENCIAS_SOBRE_INGRESOS,Z_PROM_GASTO_CORRIENTE_SOBRE_GASTO_TOTAL,Z_PROM_SERV_COMUNITARIOS_SOBRE_GASTO_TOTAL,Z_LOG_PROM_DISPONIBILIDAD_PRESUP_X_HAB,Z_LOG_PROM_IPPP,DISTANCIA_CENTROIDE,NOMBRE_CLUSTER
5703,LLAILLAY,9,9,OK,0.2602355180435592,0.5091738626833509,0.1346656136292763,0.1308700248137423,0.79657912689994,0.253831143485876,224.5922222222222,57.19222222222223,4,0,4,56462749.77777778,0,,5.418729043064267,4.0637517070135,1,0.21685144510884585,-0.3422865510129338,0.25977406836939526,-0.0852606660706397,-0.8190227740344767,-0.5591324825182535,0.41861459895466296,Dependencia fiscal intermedia y operación corriente alta
5704,PANQUEHUE,9,9,OK,0.2634264549991985,0.4212529257712926,0.1849285002571176,0.1576349972898917,0.7250049702330648,0.261562378337284,473.3566666666667,126.8933333333333,4,0,4,65061536.33601683,88257686,,6.161959500060071,4.851196583171039,1,-0.24385013539255135,0.07091893358741123,-0.6874651944925501,-0.02579750987638,0.21087304096559273,0.42877272897554225,1.6607297996465742,Dependencia fiscal intermedia y operación corriente alta
5705,PUTAENDO,9,9,OK,0.1781623906579657,0.616256530212806,0.1637380340974808,0.07168419000402088,0.7961995882018708,0.2512209866839517,270.37,48.59,5,0,5,78142996.08305365,93757377,,5.603483203339636,3.9037892005010426,1,0.7779595941777128,-0.10328548294822511,0.2547511107359578,-0.10533613455496157,-0.5630085933985389,-0.7598167445054397,0.6082971058914484,Dependencia fiscal intermedia y operación corriente alta
5706,SANTA MARÍA,9,9,OK,0.2131418996358381,0.489128377480134,0.09633884369939504,0.1617611847234389,0.7392227857437691,0.1622324040426303,309.1455555555556,67.21,4,0,4,73280189.09319618,91455435,,5.737041721332751,4.222591181666628,1,0.11181404401430849,-0.657366575351812,-0.49930128574335225,-0.7897729794844587,-0.3779363086933147,-0.3598571433142328,1.1582806892766857,Dependencia fiscal intermedia y operación corriente alta
5801,QUILPUÉ,9,9,OK,0.2070430439979522,0.3062439303897164,0.398839599672095,0.1227239679062911,0.8073645019274739,0.6053600443987781,261.5866666666667,53.25777777777778,1,0,1,0.0,0,,5.570581186271437,3.9937463513198184,4,-0.8464918701726002,1.8294577964588141,0.4025117710058406,2.618449458318278,-0.608600979131178,-0.6469591454584399,1.8985254453812535,Alta transferencia y orientación a servicios comunitarios
5802,LIMACHE,9,9,OK,0.2741515556060358,0.5032535476047696,0.09287977589611963,0.1499957477674549,0.7940920994302603,0.2516551944803844,222.1855555555556,60.74888888888889,3,0,3,76945990.76962921,126234814,,5.408003513160146,4.123075981643994,1,0.1858292721252164,-0.6858031790530835,0.22685981304590708,-0.10199651720840772,-0.8338851606037264,-0.48470599013756177,0.5141696217064005,Dependencia fiscal intermedia y operación corriente alta
5803,OLMUÉ,9,9,OK,0.3003004015054598,0.433733479154788,0.1167032208650228,0.2129317942782573,0.7892722329418151,0.2095665805575064,305.1177777777777,92.12666666666667,3,0,3,58254649.125,121981608,,5.723969922598037,4.533960573631295,1,-0.17845262177119894,-0.48995334264968504,0.16307189025057348,-0.4257121812384802,-0.39604992430834474,0.03077774978780649,0.8632870326373836,Dependencia fiscal intermedia y operación corriente alta
5804,VILLA ALEMANA,9,9,OK,0.2333891337035049,0.5732015872031885,0.06998396415848802,0.117648925264534,0.7016429220207452,0.3601070494859182,162.4622222222222,38.46111111111111,1,0,1,0.0,0,,5.096581906894768,3.6753156581075994,1,0.552353714741185,-0.8740270479767982,-0.9966473121468178,0.7321379668289999,-1.2654226547609704,-1.0464529396894373,1.8358218626354303,Dependencia fiscal intermedia y operación corriente alta
6101,RANCAGUA,9,9,OK,0.327046571068822,0.2169103530925696,0.3333023320349206,0.2233589381292231,0.8362878305531918,0.2540020675559992,267.4877777777778,85.37444444444445,1,0,1,29415181.33333333,67807760,,5.59280539253212,4.458691850164914,4,-1.3145956199518491,1.290683359687788,0.7852939617126488,-0.08394603976909312,-0.577804855527615,-0.06365217975566317,1.6988745482233267,Alta transferencia y orientación a servicios comunitarios
6102,CODEGUA,9,9,OK,0.2506526183510134,0.4618165280373707,0.1344117701657813,0.1733058508397142,0.7778064699395386,0.09803894200235153,278.7255555555556,68.80333333333334,4,0,4,74955046.99616992,91269959,,5.633808963769409,4.245681764119952,1,-0.03129876445454155,-0.34437336930736856,0.01132967769506595,-1.2835034033191701,-0.5209861312411586,-0.33088837682307604,1.373339074603713,Dependencia fiscal intermedia y operación corriente alta
